CD107a,CD3,CD45,CD68,CD86,FerritinHC,HLADR,Mac2,MerTK,PLP,S100B,TIM3,Vimentin,Type
-0.331739342,-0.075558184,-0.480157362,-0.864877563,-0.981084247,0.598638525,-0.692686369,-0.479373458,-0.551321938,-0.612640995,-0.714241264,-1.339813554,-0.112591909,4
-0.669100333,-0.075558184,-0.616707011,-1.632580674,-0.330400504,4.315805122,5.579815768,-0.230150348,-1.000557517,0.25904098,1.953915368,-0.579974362,-0.146125298,10
0.171127851,-0.075558184,-0.459981768,-0.118744714,0.678773151,1.047771956,-0.247286007,0.19260589,1.327654698,-0.572559508,-0.43047793,1.385126996,0.730213936,4
0.338197272,-0.075558184,-0.590894339,0.040023174,2.665379844,0.388365667,-0.311332754,-0.110339573,0.621284016,-0.258532065,-0.723048472,0.355791951,-0.075856839,1
-0.285326201,-0.075558184,-0.616707011,0.389713021,-0.94291863,2.173793953,0.536447322,-1.343346905,-0.640192455,1.847463934,-0.766046861,-1.309644569,-0.146125298,6
-0.284698053,-0.075558184,-0.457634341,0.79841604,0.312383224,3.63544167,2.270939115,-0.325778178,1.469847524,0.017252014,-0.656248182,-0.572158873,-0.146125298,4
-0.143302995,-0.075558184,-0.589832784,0.369658118,-0.724476643,0.695750905,1.458069735,-0.209175812,-0.145753971,-0.529777035,-0.219926673,-0.544868491,-0.146125298,4
-0.32322824,-0.075558184,-0.296739713,0.573991392,-0.134564259,0.739559136,0.274311458,-0.941983674,-0.044064885,1.71784138,-0.747683294,-1.132844895,-0.079210254,6
-0.234101192,-0.075558184,-0.491775103,-0.854452441,-0.081333481,1.784349519,0.453387151,0.316658416,-0.076123955,-0.637996088,0.583799304,-0.004345959,-0.146125298,4
-0.409952015,0.719082371,-0.614785224,-1.542028019,-0.843444795,1.76566556,-0.675908798,-0.850496072,-0.097153025,-0.35811999,1.840744288,-1.467030955,-0.146125298,9
-0.063904109,-0.075558184,-0.616707011,-1.09151128,0.443534164,1.746112204,-0.851146113,-0.461374011,-0.754454548,0.012388333,-0.747331177,-0.968053807,-0.131035273,4
0.42487338,-0.075558184,-0.60505618,-0.583873896,0.509109634,-0.070674357,-0.663242836,-0.479373458,1.20228379,0.464393482,-0.766046861,-1.191401613,-0.146125298,5
-0.366291528,-0.075558184,-0.544092533,-0.843237288,0.967702206,1.201335699,-0.762404673,-0.713784858,-0.682708582,0.561277299,-0.702706756,0.395864941,-0.023299512,4
-0.246780769,-0.075558184,-0.612564493,-0.535097554,-0.259911787,0.143197822,-0.588344326,-0.924450688,0.305066676,1.853875715,-0.766046861,-1.345475768,-0.146125298,6
-0.722377219,-0.075558184,-0.591237115,-1.748414457,-1.089561402,1.629315757,0.731347813,-1.293482713,-1.100874603,0.314588802,2.614471389,-1.643807426,-0.146125298,10
-0.366877111,-0.075558184,-0.427079704,0.457918781,-0.623117077,2.146934713,0.540434659,-1.100044037,-0.080702208,0.218051399,-0.766046861,-0.944495824,-0.146125298,4
0.668240583,-0.072587336,-0.588385718,-0.800104247,0.492859153,0.678742018,1.034376258,-0.273665494,2.011154472,-0.427403034,-0.766046861,-0.578736864,-0.146125298,4
0.10870781,-0.075558184,-0.574942286,-0.03667416,-0.427222077,0.968921627,1.156314881,-0.65877778,-0.473482189,-0.534018745,-0.766046861,-0.396869255,-0.146125298,4
-0.178989756,-0.075558184,-0.588984009,-1.021640371,-0.623173874,0.634007971,-0.793965065,-0.3243013,-0.227091043,-0.509817324,-0.609263769,-0.61635681,-0.122909875,4
-0.773831895,-0.075558184,-0.616707011,-1.750323402,-1.203779291,3.77756078,1.737249333,-1.121815252,-0.939031774,-0.37276871,2.058430214,-1.926124938,-0.146125298,10
-0.381903922,-0.075558184,0.889162805,0.456183986,-0.076385634,2.320615858,-0.37416087,-0.873111357,-0.208138917,1.259250834,-0.75773562,-1.224246879,-0.146125298,6
0.000144905,-0.075558184,-0.247413357,-0.009080094,0.058728659,0.278880424,1.031850664,-0.6912733,-0.293584702,-0.35562025,-0.667872705,0.440316028,-0.146125298,4
-0.247947957,-0.075558184,-0.558666244,-0.57558738,0.577567542,0.954956593,-0.367013239,0.121926744,-0.686650668,-0.010832427,-0.766046861,0.312261863,-0.146125298,4
-0.052506267,-0.075558184,-0.57561591,-0.882119355,2.106189628,2.204918681,0.346212738,-0.456148365,0.052751849,-0.014606482,-0.766046861,0.145718552,-0.146125298,4
0.299218331,-0.075558184,-0.379722734,0.105266019,0.394139654,1.595439289,0.360745556,0.362159121,1.854282582,-0.294473325,-0.74992809,-0.136087496,-0.029847182,4
-0.305907691,-0.075558184,-0.516557602,-0.270029163,-0.689094983,-0.064826191,-0.263938277,-0.772995719,-0.243147641,-0.560176019,-0.763845664,-0.808634999,-0.146125298,4
-0.177585202,0.898505338,-0.30196574,-0.784389762,-1.088732408,0.895060557,1.758132846,-0.34163856,-0.203015752,-0.617340203,-0.766046861,-0.796687204,-0.146125298,12
34.92627454,-0.075558184,-0.339329168,-0.181313364,-0.217628822,1.180342862,0.18239642,4.939016718,0.150218516,5.003560446,-0.672011466,-0.264284736,9.483488641,11
-0.50008776,-0.075558184,-0.193527427,-0.662781824,-0.888003212,1.184419232,0.380941161,0.091643476,-0.701263573,6.041086029,-0.76553736,-1.642174568,-0.133116655,6
0.201357851,-0.075558184,-0.593105724,-0.517377616,0.03974049,0.476524165,-0.327195773,-0.599013698,0.512939229,-0.53050286,-0.766046861,-0.06374665,-0.146125298,4
