ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,Phenograph2488198336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.765697916,-0.086755992,-0.866387765,0.198277715,-0.949561403,0.072080921,-0.38936502,-0.691532737,-0.596034556,-0.530946803,-0.275959466,-0.0100502,-0.076812388,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.685901014,-0.086755992,-1.785180551,-0.329832836,-1.285752572,-1.041289253,-1.180344698,-0.19741107,-0.535691685,1.119177717,-0.275959466,-0.521267118,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.46649225,-0.086755992,0.714709584,0.471340328,-0.283054461,1.862176966,-0.16532168,0.214170406,-0.451478538,-0.201114986,-0.242751232,-0.276846908,-0.076812388,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.856895724,-0.086755992,0.406451486,-0.035900847,-0.483413985,1.250117304,-0.41993676,-0.239926414,-0.409951863,-0.521157655,-0.275959466,-0.317925935,-0.076812388,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.031188889,-0.052511431,0.196251618,-0.168748662,3.233769746,-0.791236904,0.253997531,0.96756319,-0.32041765,-0.123826294,-0.275959466,0.770878116,-0.076812388,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.971352313,-0.086755992,-0.8536052,0.268153689,-0.948968474,-1.062934083,-0.93963443,-0.752066431,-0.631471144,-0.607642416,-0.269458532,0.125036322,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.809543069,-0.086755992,-0.83528923,0.081527122,-1.364388482,2.466748378,-1.365855805,-0.737553688,-0.604026593,-0.409806752,-0.275959466,-0.881245939,-0.076812388,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.694165503,-0.086755992,-0.157923814,0.649481686,-0.871973425,0.682605114,-1.351375678,0.105599603,-0.433780234,-0.430230622,-0.275959466,0.430839896,-0.076812388,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.961919388,-0.086755992,0.158631532,0.413222581,-0.960996477,-0.672846442,-1.085118658,-0.796393908,-0.630577679,-0.363647099,-0.275959466,0.251527138,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.873340643,-0.086755992,-1.774285875,-1.674503252,-0.732001795,1.256854381,-1.252985075,-0.2856434,-0.633670443,-0.645035578,1.248545248,0.099184184,-0.076812388,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
