CD107a,CD45,CD86,FerritinHC,HLADR,Mac2,MerTK,PLP,S100B,TIM3,Vimentin
-0.41295442,-0.228816748,-0.3212291,-0.16583997,-0.73551333,0.764224708,-0.816779315,0.728116155,0.708223701,-0.504636943,-0.146125302
-0.323015064,-0.108212993,0.087553039,-0.388853043,-0.388614982,2.112546921,-0.640192449,0.158858523,0.463606417,0.188099533,-0.146125302
-0.35834837,1.21894598,-0.334003538,-0.359927714,-1.458218217,1.860554576,-0.797302842,-0.040788744,0.840793133,-0.731567919,-0.146125302
-0.445503891,-0.58812362,-0.062333748,-0.395189077,-0.920525789,0.4133991,-0.137439251,-0.009218353,0.508589745,-0.368956178,-0.146125302
0.023301512,1.878388524,-0.1436553,-0.001364916,0.285499573,1.435461283,0.328604221,0.476690322,0.879068077,0.735986531,-0.146125302
-0.478686482,-0.020994991,-0.33604005,-0.27129522,-0.986888945,0.991885662,-0.992914557,-0.189976603,0.427131534,-0.440244675,-0.146125302
-0.236765549,1.226394653,0.854281604,-0.106698588,-0.290771842,1.536564589,-0.754454553,-0.005222537,0.227475598,0.644901395,-0.146125302
-0.293794274,-0.086569652,-0.002568762,0.429721743,1.006296992,2.236492395,-0.745776415,0.225840628,-0.285498917,-0.34740302,-0.146125302
-0.267941535,0.260223091,0.726155221,0.366600662,-0.523791313,1.366203666,-0.233033165,0.168214113,0.94930315,0.850556135,-0.146125302
-0.349187881,0.822817802,-0.287163943,-0.526745796,1.83410418,1.360569954,-0.551321924,-0.203533396,0.144929022,-0.716970026,-0.146125302
-0.32144469,0.143790156,-0.099805444,-0.444867194,-0.504247725,1.152576447,-0.297406167,-0.278499603,0.147300407,0.328239352,-0.146125302
-0.148248151,-0.277955979,0.691935241,-0.902888715,-0.6609115,1.982486367,-0.610705435,0.627129793,-0.339303851,-0.362853289,-0.146125302
-0.371221751,0.269117355,-0.966883063,-0.239165232,-1.004426837,0.793145597,-0.52327311,0.708376706,0.643929064,0.377532691,-0.146125302
-0.061325036,0.049573075,-0.024588535,-0.132405862,-0.676430881,0.508625388,-0.21400319,0.066627726,0.474523306,1.670691729,-0.146125302
-0.089601062,0.635933757,0.070520453,-0.525841415,-0.630392611,0.73149842,-0.271437526,-0.390383482,0.44017449,-0.552411914,-0.146125302
-0.397838563,-0.591120899,0.462270021,-0.044746887,0.012698819,1.807615042,-0.532651663,-0.058459558,1.435025692,0.079903372,-0.146125302
-0.316284925,-0.10074167,-0.166719183,-0.413547814,-1.148487568,1.320571184,-0.583061397,-0.186326012,1.030236602,-0.168506205,-0.146125302
-0.397742987,-0.521357715,-0.325927764,-0.322405517,-0.695639968,0.389565349,-0.435308695,0.164005727,0.909533322,-0.47333616,-0.146125302
0.097619608,2.423604965,1.061817169,-0.068509877,-0.058235578,4.282765865,-0.117851458,2.675000429,1.975589752,1.937344551,-0.146125302
-0.372068882,-0.407872885,-0.240807191,-0.174334124,-0.318281621,1.465309024,-0.521218538,-0.142064676,1.009455085,-0.296791404,-0.146125302
-0.27085638,-0.486883461,-0.487905174,-0.434208751,-1.148487568,2.477678537,-0.215790391,-0.099963233,0.727338076,-0.506343246,-0.146125302
