,Phenotype
Cell1502,2
Cell1503,2
Cell1504,2
Cell1505,2
Cell1506,2
Cell1507,2
Cell1508,2
Cell1509,2
Cell1510,2
Cell1511,2
Cell1512,2
Cell1513,2
Cell1514,2
Cell1515,2
Cell1516,2
Cell1517,2
Cell1518,2
Cell1519,2
Cell1520,2
Cell1521,2
Cell1522,2
Cell1523,2
Cell1524,2
Cell1525,2
Cell1526,2
Cell1527,2
Cell1528,2
Cell1529,2
Cell1530,2
Cell1531,2
Cell1532,2
Cell1533,2
Cell1534,2
Cell1535,2
Cell1536,2
Cell1537,2
Cell1538,2
Cell1539,2
Cell1540,2
Cell1541,2
Cell1542,2
Cell1543,2
Cell1544,2
Cell1545,2
Cell1546,2
Cell1547,2
Cell1548,2
Cell1549,2
Cell1550,2
Cell1551,2
Cell1552,2
Cell1553,2
Cell1554,2
Cell1555,2
Cell1556,2
Cell1557,2
Cell1558,2
Cell1559,2
Cell1560,2
Cell1561,2
Cell1562,2
Cell1563,2
Cell1564,2
Cell1565,2
Cell1566,2
Cell1567,2
Cell1568,2
Cell1569,2
Cell1570,2
Cell1571,2
Cell1572,2
Cell1573,2
Cell1574,2
Cell1575,2
Cell1576,2
Cell1577,2
Cell1578,2
Cell1579,2
Cell1580,2
Cell1581,2
Cell1582,2
Cell1583,2
Cell1584,2
Cell1585,2
Cell1586,2
Cell1587,2
Cell1588,2
Cell1589,2
Cell1590,2
Cell1591,2
Cell1592,2
Cell1593,2
Cell1594,2
Cell1595,2
Cell1596,2
Cell1597,2
Cell1598,2
Cell1599,2
Cell1600,2
Cell1601,2
Cell1602,2
Cell1603,2
Cell1604,2
Cell1605,2
Cell1606,2
Cell1607,2
Cell1608,2
Cell1609,2
Cell1610,2
Cell1611,2
Cell1612,2
Cell1613,2
Cell1614,2
Cell1615,2
Cell1616,2
Cell1617,2
Cell1618,2
Cell1619,2
Cell1620,2
Cell1621,2
Cell1622,2
Cell1623,2
Cell1624,2
Cell1625,2
Cell1626,2
Cell1627,2
Cell1628,2
Cell1629,2
Cell1630,2
Cell1631,2
Cell1632,2
Cell1633,2
Cell1634,2
Cell1635,2
Cell1636,2
Cell1637,2
Cell1638,2
Cell1639,2
Cell1640,2
Cell1641,2
Cell1642,2
Cell1643,2
Cell1644,2
Cell1645,2
Cell1646,2
Cell1647,2
Cell1648,2
Cell1649,2
Cell1650,2
Cell1651,2
Cell1652,2
Cell1653,2
Cell1654,2
Cell1655,2
Cell1656,2
Cell1657,2
Cell1658,2
Cell1659,2
Cell1660,2
Cell1661,2
Cell1662,2
Cell1663,2
Cell1664,2
Cell1665,2
Cell1666,2
Cell1667,2
Cell1668,2
Cell1669,2
Cell1670,2
Cell1671,2
Cell1672,2
Cell1673,2
Cell1674,2
Cell1675,2
Cell1676,2
Cell1677,2
Cell1678,2
Cell1679,2
Cell1680,2
Cell1681,2
Cell1682,2
Cell1683,2
Cell1684,2
Cell1685,2
Cell1686,2
Cell1687,2
Cell1688,2
Cell1689,2
Cell1690,2
Cell1691,2
Cell1692,2
Cell1693,2
Cell1694,2
Cell1695,2
Cell1696,2
Cell1697,2
Cell1698,2
Cell1699,2
Cell1700,2
Cell1701,2
Cell1702,2
Cell1703,2
Cell1704,2
Cell1705,2
Cell1706,2
Cell1707,2
Cell1708,2
Cell1709,2
Cell1710,2
Cell1711,2
Cell1712,2
Cell1713,2
Cell1714,2
Cell1715,2
Cell1716,2
Cell1717,2
Cell1718,2
Cell1719,2
Cell1720,2
Cell1721,2
Cell1722,2
Cell1723,2
Cell1724,2
Cell1725,2
Cell1726,2
Cell1727,2
Cell1728,2
Cell1729,2
Cell1730,2
Cell1731,2
Cell1732,2
Cell1733,2
Cell1734,2
Cell1735,2
Cell1736,2
Cell1737,2
Cell1738,2
Cell1739,2
Cell1740,2
Cell1741,2
Cell1742,2
Cell1743,2
Cell1744,2
Cell1745,2
Cell1746,2
Cell1747,2
Cell1748,2
Cell1749,2
Cell1750,2
Cell1751,2
Cell1752,2
Cell1753,2
Cell1754,2
Cell1755,2
Cell1756,2
Cell1757,2
Cell1758,2
Cell1759,2
Cell1760,2
Cell1761,2
Cell1762,2
Cell1763,2
Cell1764,2
Cell1765,2
Cell1766,2
Cell1767,2
Cell1768,2
Cell1769,2
Cell1770,2
Cell1771,2
Cell1772,2
Cell1773,2
Cell1774,2
Cell1775,2
Cell1776,2
Cell1777,2
Cell1778,2
Cell1779,2
Cell1780,2
Cell1781,2
Cell1782,2
Cell1783,2
Cell1784,2
Cell1785,2
Cell1786,2
Cell1787,2
Cell1788,2
Cell1789,2
Cell1790,2
Cell1791,2
Cell1792,2
Cell1793,2
Cell1794,2
Cell1795,2
Cell1796,2
Cell1797,2
Cell1798,2
Cell1799,2
Cell1800,2
Cell1801,2
Cell1802,2
Cell1803,2
Cell1804,2
Cell1805,2
Cell1806,2
Cell1807,2
Cell1808,2
Cell1809,2
Cell1810,2
Cell1811,2
Cell1812,2
Cell1813,2
Cell1814,2
Cell1815,2
Cell1816,2
Cell1817,2
Cell1818,2
Cell1819,2
Cell1820,2
Cell1821,2
Cell1822,2
Cell1823,2
Cell1824,2
Cell1825,2
Cell1826,2
Cell1827,2
Cell1828,2
Cell1829,2
Cell1830,2
Cell1831,2
Cell1832,2
Cell1833,2
Cell1834,2
Cell1835,2
Cell1836,2
Cell1837,2
Cell1838,2
Cell1839,2
Cell1840,2
Cell1841,2
Cell1842,2
Cell1843,2
Cell1844,2
Cell1845,2
Cell1846,3
Cell1847,3
Cell1848,3
Cell1849,3
Cell1850,3
Cell1851,3
Cell1852,3
Cell1853,3
Cell1854,3
Cell1855,3
Cell1856,3
Cell1857,3
Cell1858,3
Cell1859,3
Cell1860,3
Cell1861,3
Cell1862,3
Cell1863,3
Cell1864,3
Cell1865,3
Cell1866,3
Cell1867,3
Cell1868,3
Cell1869,3
Cell1870,3
Cell1871,3
